Wed Feb 17 11:41:35 2021   -   Prosess 9 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:41:35 2021   -   Prosess 9 kobler fra klient, forelder er 2
Wed Feb 17 11:41:35 2021   -   Prosess 10 koblet til klient, forelder er 2
Wed Feb 17 11:41:35 2021   -   Prosess 10 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:41:35 2021   -   Prosess 10 kobler fra klient, forelder er 2
PID:	2PPID:	1Wed Feb 17 12:04:35 2021   -   Prosess 2 er knyttet til port 80.
Wed Feb 17 12:04:49 2021   -   Prosess 3 koblet til klient, forelder er 2
Wed Feb 17 12:04:49 2021   -   Prosess 3 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 12:04:49 2021   -   Prosess 3 kobler fra klient, forelder er 2
Wed Feb 17 12:04:49 2021   -   Prosess 4 koblet til klient, forelder er 2
Wed Feb 17 12:04:49 2021   -   Prosess 4 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 12:04:49 2021   -   Prosess 4 kobler fra klient, forelder er 2
Wed Feb 17 12:04:52 2021   -   Prosess 5 koblet til klient, forelder er 2
Wed Feb 17 12:04:52 2021   -   Prosess 5 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 12:04:52 2021   -   Prosess 5 kobler fra klient, forelder er 2
Wed Feb 17 12:04:52 2021   -   Prosess 6 koblet til klient, forelder er 2
Wed Feb 17 12:04:52 2021   -   Prosess 6 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 12:04:52 2021   -   Prosess 6 kobler fra klient, forelder er 2
Wed Feb 17 12:04:52 2021   -   Prosess 7 koblet til klient, forelder er 2
Wed Feb 17 12:04:52 2021   -   Prosess 7 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 12:04:53 2021   -   Prosess 7 kobler fra klient, forelder er 2
